epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7733,0.88205,3.49126,1.21116,0.18632,0.41808,0.22403,0.16934,0.8344,2.05752,1.15611,0.000175135,0.000175135,0.000175135
2,111.828,0.76411,2.64442,1.1054,0.26497,0.56193,0.34887,0.28952,0.73375,1.85363,1.06526,0.000234814,0.000234814,0.000234814
3,165.53,0.71473,2.29882,1.07589,0.42175,0.55075,0.48259,0.402,0.70281,1.53766,1.03587,0.000178772,0.000178772,0.000178772
